name,address,latitude,longitude,place_id,rating,status
McDonald's,"R. Cmte. José Carvalho, 2005-198 Santarém",39.2445428,-8.689374899999999,ChIJL3zSnNjtGA0RA8lcMtHuMTQ,4.0,OPERATIONAL
McDonald's Queluz,"Av. José Elias Garcia 116, 2745-142 Queluz",38.7564833,-9.2545024,ChIJN1SDJrjNHg0RsimMIdjI21A,4.4,OPERATIONAL
McDonald's - Almada Drive,"R. Eduardo Viana 1, 2810-017 Almada",38.662697699999995,-9.1629476,ChIJ0aK1bxk1GQ0RSbc-whuo_9k,4.1,OPERATIONAL
McDonald's,"Galeria Comercial do, Parque Urbano Comandante Júlio Ferraz, 2800-199 Almada",38.679093,-9.156698,ChIJA90WM-U0GQ0RnRODitBrtlI,4.0,OPERATIONAL
McDonald's Abóboda,"Estrada Nacional 249 Km 4, 2785-784 São Domingos de Rana",38.721204,-9.339144,ChIJa8qohhbPHg0R7XOJZUP-Xg8,4.2,OPERATIONAL
McDonald's,"Estr. da Circunvalação 8114 8116, 4200-163 Porto",41.184545,-8.605417,ChIJnQxdUzdkJA0ROx58vUnXen0,4.3,OPERATIONAL
McDonald's Belém,"Tv. da Praça 2-14, 1300-469 Lisboa",38.6970218,-9.2032405,ChIJIe9GJEXLHg0RNRLoaHjNFsM,3.8,OPERATIONAL
McDonald's - Penafiel,"R. Tapadinho, 4560-264 Penafiel",41.1941268,-8.3014932,ChIJmxr6RJSRJA0RF661GLF7Y7k,4.4,OPERATIONAL
McDonald's,"Centro Comercial Alegro, Loja 1.001-1.002, 2910-394 Setúbal",38.537853999999996,-8.878815,ChIJk1skqU1CGQ0RvnriopOv8nw,4.0,OPERATIONAL
McDonald's - Porto Alto,"Av. Nações Unidas 24, 2135-196 Samora Correia",38.9223341,-8.8849996,ChIJx24udgshGQ0RHAEZPpDPbT8,4.2,OPERATIONAL
McDonald's - Mercês,"Estrada das Mercês Limites do lugar de Algueirão, 2725-083 Algueirão-Mem Martins",38.800791,-9.325992,ChIJZZMApDXQHg0RxGw59MTg4Rw,4.0,OPERATIONAL
McDonald's,"Shopping Center, Piso ""Mouzinho de Albuquerque, 4150-365 Porto",41.1550795,-8.6304258,ChIJd8fv_ghlJA0RtrBcGArDx5Y,4.0,OPERATIONAL
McDonald's,"Av. de Fernão de Magalhães 1647/59, 4350-170 Porto",41.163855999999996,-8.5900835,ChIJu9RTDWFkJA0REh08fXf_Z28,4.2,OPERATIONAL
McDonald's - Ponte de Lima,"Rua do Tripeiro 10, 4990-349 Pte. de Lima",41.758852,-8.585396,ChIJAfjLzX6lJQ0RpeP-fQc-byM,4.2,OPERATIONAL
McDonald's - Torres Novas,"Av. Andrade Corvo n.º 3, 2350-410 Torres Novas",39.4714068,-8.540081599999999,ChIJ6RVbW-WIGA0RwJ7GmnesG_Q,4.2,OPERATIONAL
McDonald's,"Av. Lusíada, 1500-392 Lisboa",38.754405999999996,-9.18824,ChIJH6QtkdQyGQ0R5S3iz6DBveU,3.5,OPERATIONAL
McDonald's Restelo,"R. Gregório Lopes, 1400-195 Lisboa",38.711077,-9.213761,ChIJjYHiE5_MHg0RwkS5HlsZUiE,4.1,OPERATIONAL
